OBJECTID,COMPTYPE,COMPKEY,HANSEGKEY,UNITID,UNITTYPE,BRGUNITID,UNITDESC_BRG,UNITDESC_SEG,INSTDATE,EXPDATE,STATUS,STATUSDT,CONDITION,CONDDT,OWN,LSTVERIFY,MAINTBY,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,OVERRIDECOMMENT,ADDDTTM,MODDTTM,BR_NBR,BR_CODE,BR_TYPE,BR_NAME,BR_FACILITIES,BR_FEATURES,BR_RATING,BR_INSET,BR_GEO,BR_OWNER,BR_OWNER_NAME,GEOBASID,XGEOBASID,GISSEGKEY,EARTHQUAKE_RESPONSE_TEAM,Shape__Length
103724,66,511829,13505,BRG-043, ,BRG-043,JOE DESIMONE BR                                                                                                                                                                                                                                                ,WESTERN AVE BETWEEN PINE ST AND VIRGINIA ST                                                                                                                                                                                                                    ,,, ,, ,, ,, ,DISTRICT7, ,N,,12/21/2009 12:00:00 AM,4/5/2011 12:00:00 AM,43,  43,E,JOE DESIMONE BRIDGE,"PEDESTRIANS, SHOPS",WESTERN AVE (PDA),4,1,DT,SDOT,Seattle Dept. of Transportation,0,104200110,13505, ,74.6890854239175
103725,66,515683,491164,BRG-820, ,BRG-820,NB VIADUCT STA 2075                                                                                                                                                                                                                                            ,I5 NB BETWEEN W SEATTLE BR - I5 NB RP AND I5 NB COLLECTOR S                                                                                                                                                                                                    ,,, ,, ,, ,, ,DISTRICT2, ,N,,1/21/2010 12:00:00 AM,,820, 820,ST,NB VIADUCT STA 2075,SR 5 NB, ,1,0,S,DOT,State of Washington,0,0,491164, ,2440.12540384583
103726,66,511956,1567,BRG-200W, ,BRG-200W,GENERAL INSURANCE W                                                                                                                                                                                                                                            ,12TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST                                                                                                                                                                                                                  ,,, ,, ,, ,, ,DISTRICT4, ,N,,12/21/2009 12:00:00 AM,3/25/2011 12:00:00 AM,200, 200,PR,GENERAL INSURANCE CO PED BR,PEDESTRIANS,12 AVE NE,5,0,NE,PRIV,Other,0,3300040,1567, ,81.5778600065877
103727,66,512030,12224,BRG-5/551, ,BRG-5/551,PINE & BOREN OVER I-5                                                                                                                                                                                                                                          ,PINE ST BETWEEN BOREN AVE AND MINOR AVE                                                                                                                                                                                                                        ,,, ,, ,, ,, ,DISTRICT7,DISTRICT3,N,,12/21/2009 12:00:00 AM,6/6/2024 12:00:00 AM,321, 321,ST,PINE ST AND BOREN AVE / I-5,"PINE ST, BOREN AVE",SR 5,1,1,DT,DOT,State of Washington,91600130,0,12224, ,975.24755460307
103728,66,515760,11905,BRG-917, ,BRG-917,SR 520 OC                                                                                                                                                                                                                                                      ,MONTLAKE BLVD E BETWEEN SR520 WB MONTLAKE BV OFF RP AND MONTLAKE BV ON RP                                                                                                                                                                                      ,,, ,, ,, ,, ,DISTRICT3, ,N,,1/21/2010 12:00:00 AM,,917, 917,ST,SR 520 OC,MONTLAKE BLVD  E,SR 520,0,0,CE,DOT,State of Washington,0,112200020,11905, ,248.409697572842
103729,66,512044,8280,BRG-342, ,BRG-342,STRUCTURE OVER 8TH AVE/PIKE TO PINEDuplicate structure of 243N.  Number will be reused for new asset.                                                                                                                                                        ,8TH AVE BETWEEN PIKE ST AND PINE ST                                                                                                                                                                                                                            ,,3/31/2010 12:00:00 AM,REMOVED,3/31/2010 12:00:00 AM, ,, ,, ,DISTRICT7, ,N,,12/21/2009 12:00:00 AM,10/25/2023 12:00:00 AM,0, , ,STRUCTURE OVER 8TH AVE/PIKE TO, , ,0,0, , , ,,,8280, ,270.212848310266
103730,66,531730,491957,BRG-885, ,BRG-885,I-5 NB /NE RAVENNA BLVD                                                                                                                                                                                                                                        ,I5 NB BETWEEN NE RAVENNA BV OFF RP AND NE LAKE CITY WY OFF RP                                                                                                                                                                                                  ,,, ,, ,, ,, ,DISTRICT4,DISTRICT6,N,,9/17/2010 12:00:00 AM,,885,885,0,I-5 EXP / NE RAVENNA BLVD,SR 5,NE RAVENNA BLVD,0,0,NE,DOT,State of Washington,0,0,491957, ,1390.99202900238
103731,66,515712,491393,BRG-851, ,BRG-851,SR 5 RAMP SB                                                                                                                                                                                                                                                   ,AIRPORT WY S OFF RP BETWEEN I5 SB COLLECTOR AND AIRPORT WAY NB OFF RP                                                                                                                                                                                          ,,, ,, ,, ,, ,DISTRICT2, ,N,,1/21/2010 12:00:00 AM,,851, 851,ST,SR 5 RAMP SB,8TH AVE S AND SR5 ONRAMP, ,1,2,S,DOT,State of Washington,0,0,491393, ,641.00638598404
103732,66,511931,9962,BRG-142, ,BRG-142,DELRIDGE WAY SW PED                                                                                                                                                                                                                                            ,DELRIDGE WAY SW BETWEEN SW GENESEE ST AND SW OREGON ST                                                                                                                                                                                                         ,,, ,, ,, ,, ,DISTRICT1, ,N,,12/21/2009 12:00:00 AM,5/7/2018 12:00:00 AM,142, 142,E,DELRIDGE WAY PED BR,PEDESTRIANS,DELRIDGE WAY SW,1,0,SW,SDOT,Seattle Dept. of Transportation,180550010,0,9962,BRGTEAM-P,223.107774235755
103733,66,515715,491379,BRG-848, ,BRG-848,SBCD DEARBORN ST OC                                                                                                                                                                                                                                            ,I5 SB COLLECTOR BETWEEN I5 SB - I90 EB ON RP AND DEARBORN OFF RP                                                                                                                                                                                               ,,, ,, ,, ,, ,DISTRICT2, ,N,,1/21/2010 12:00:00 AM,,848, 848,ST,SBCD DEARBORN ST OC,SR 5 SB,S DEARBORN ST,1,2,S,DOT,State of Washington,0,0,491379, ,318.249575671372
103734,66,511921,13727,BRG-131WR, ,BRG-131WR,WS HIGHRISE - W APPR RAMP                                                                                                                                                                                                                                      ,W SEATTLE BR WB OFF RP BETWEEN WEST SEATTLE BR WB AND W SEATTLE BR WB-CHELAN OFF RP                                                                                                                                                                            ,,, ,, ,, ,, ,DISTRICT1, ,N,,12/21/2009 12:00:00 AM,4/5/2011 12:00:00 AM,131, 131W,E,W SEATTLE FREEWAY (WEST),SW SPOKANE ST,"W/E MARGINAL,DELRIDGE,DUWAMISH",1,0,SW,SDOT,Seattle Dept. of Transportation,97240080,0,13727, ,1962.08488371264
103735,66,512037,20314,BRG-5/539.5, ,BRG-5/539.5,BEACON-HOLGATE OVER I-5                                                                                                                                                                                                                                        ,S HOLGATE BR BETWEEN S HOLGATE ST AND BEACON AVE S                                                                                                                                                                                                             ,,, ,, ,, ,, ,DISTRICT2, ,N,,12/21/2009 12:00:00 AM,6/6/2024 12:00:00 AM,330, 330,ST,S HOLGATE ST / I-5,S HOLGATE ST,SR 5,1,0,S,DOT,State of Washington,0,0,20314, ,1007.66589959561
103736,66,511946,13065,BRG-157, ,BRG-157,SWEDISH HOSP BALLARD PED                                                                                                                                                                                                                                       ,TALLMAN AVE NW BETWEEN NW CENTRAL PL AND NW MARKET ST                                                                                                                                                                                                          ,,, ,, ,, ,, ,DISTRICT6, ,N,,12/21/2009 12:00:00 AM,3/25/2011 12:00:00 AM,157, 157,PR,BALLARD COMM HOSPITAL PED BR,PEDESTRIANS,TALLMAN AVE NW,5,0,NO,PRIV,Other,99750030,0,13065, ,133.198600966325
103737,66,511811,4385,BRG-026, ,BRG-026,PINE ST PED /3RD AVE                                                                                                                                                                                                                                           ,3RD AVE BETWEEN PINE ST AND STEWART ST                                                                                                                                                                                                                         ,,, ,, ,, ,, ,DISTRICT7, ,N,,12/21/2009 12:00:00 AM,12/20/2012 12:00:00 AM,26,  26,PR,BON MARCHE SKYBRIDGE,PEDESTRIANS,3RD AVE,4,1,DT,PRIV,Other,0,20800130,4385, ,97.269743107593
103738,66,515728,491681,BRG-872, ,BRG-872,GALER-LAKEVIEW VIADUCT                                                                                                                                                                                                                                         ,I5 NB BETWEEN LAKEVIEW BV OFF RP AND I5 NB SR520 EB ON RP                                                                                                                                                                                                      ,,, ,, ,, ,, ,DISTRICT3,DISTRICT4,N,,1/21/2010 12:00:00 AM,,872, 872,ST,GALER-LAKEVIEW VIADUCT,SR 5, ,1,0,CE,DOT,State of Washington,0,80900140,491681, ,2031.59426522077
103739,66,511979,527193,BRG-519/12, ,BRG-519/12,SR 519 VIADUCT (4TH AVE)                                                                                                                                                                                                                                       ,EDGAR MARTINEZ DR S BETWEEN S ATLANTIC ST OFF RP AND 4TH AVE SB OFF RP                                                                                                                                                                                         ,,, ,, ,, ,, ,DISTRICT2, ,N,,12/21/2009 12:00:00 AM,6/9/2024 12:00:00 AM,242,242, ,SR519 BRIDGE, , ,0,0, , ,State of Washington,31500080,0,527193, ,2699.69068709474
103740,66,511892,16241,BRG-104, ,BRG-104,NE 105TH ST /THORNTON CR                                                                                                                                                                                                                                       ,NE 105TH ST BETWEEN 40TH AVE NE AND 41ST PL NE                                                                                                                                                                                                                 ,,, ,, ,, ,, ,DISTRICT5, ,N,,12/21/2009 12:00:00 AM,3/25/2011 12:00:00 AM,104, 104,E,NE 105TH ST / THORNTON CREEK,NE 105TH ST,THORNTON CREEK,5,0,NE,SDOT,Seattle Dept. of Transportation,128200240,0,16241, ,30.0213874276205
103741,66,511875,8936,BRG-99/572P, ,BRG-99/572P,WOODLAND PARK /SR-99 - C BR                                                                                                                                                                                                                                    ,AURORA AVE N BETWEEN N 50 UPPER ST AND N 59TH ST                                                                                                                                                                                                               ,,, ,, ,, ,, ,DISTRICT6, ,N,,12/21/2009 12:00:00 AM,6/6/2024 12:00:00 AM,88,  88M,ST,WOODLAND PARK (M BR) / AURORA,PEDESTRIANS,SR 99,2,0,NO,DOT,State of Washington,0,52500490,8936, ,191.833029779875
103742,66,511879,14663,BRG-091, ,BRG-091,E PINE ST PED                                                                                                                                                                                                                                                  ,E PINE ST BETWEEN EVERGREEN PL AND 40TH AVE                                                                                                                                                                                                                    ,,, ,, ,, ,, ,DISTRICT3, ,N,,12/21/2009 12:00:00 AM,9/16/2010 12:00:00 AM,91,  91,E,E PINE ST AND 39TH AVE,PEDESTRIANS,RAVINE,5,0,CE,SDOT,Seattle Dept. of Transportation,0,83050030,14663, ,378.443096370281
103743,66,515737,491982,BRG-887, ,BRG-887,8TH-RAMP BR                                                                                                                                                                                                                                                    ,NE 70TH ST ON RP BETWEEN NE 70TH ST AND I5 NB                                                                                                                                                                                                                  ,,, ,, ,, ,, ,DISTRICT4, ,N,,1/21/2010 12:00:00 AM,,887, 887,ST,8TH-RAMP BR,SR 5 ON RAMP NB,SR 5 OFF RAMP NB,5,0,NE,DOT,State of Washington,0,47950240,491982, ,284.684872763322
103744,66,511926,12786,BRG-137, ,BRG-137,SENECA ST OFF RAMP                                                                                                                                                                                                                                             ,SENECA ST OFF RP BETWEEN ALASKAN WY VI NB AND 1ST AVE                                                                                                                                                                                                          ,,8/31/2023 12:00:00 AM,REMOVED,8/31/2023 12:00:00 AM, ,, ,, ,DISTRICT7, ,N,,12/21/2009 12:00:00 AM,10/25/2023 12:00:00 AM,137, 137,ST,SENECA ST RAMP/ALASKA WY VIA,SENECA ST,"WESTERN AVE, POST ALLEY",1,1,DT,DOT,State of Washington,96200010,0,12786, ,523.650228910127
103745,66,511907,12734,BRG-120, ,BRG-120,BURKE GILMAN TR /SAND PT                                                                                                                                                                                                                                       ,SAND POINT WAY NE BETWEEN MATTHEWS N AVE NE AND NE 95TH ST                                                                                                                                                                                                     ,,, ,, ,, ,, ,DISTRICT5, ,N,,12/21/2009 12:00:00 AM,5/3/2018 12:00:00 AM,120, 120,PK,BURKE GILMAN TRL/SANDPOINT WY,BURKE GILMAN TRAIL,SANDPOINT WAY NE (PARK),3,0,NE,PRKS,Other,0,95550380,12734,BRGTEAM-E,137.98252520223
103746,66,512045,7245,BRG-500, ,BRG-500,MONORAIL                                                                                                                                                                                                                                                       ,5TH AVE BETWEEN BLANCHARD ST AND BELL ST                                                                                                                                                                                                                       ,,, ,, ,, ,, ,DISTRICT7, ,N,,12/21/2009 12:00:00 AM,5/7/2018 12:00:00 AM,500, 500,SC,MONORAIL,MONORAIL,VARIOUS ARTERIALS,0,0,DT,SC,Other,38850190,0,7245,BRGTEAM-I,4899.88567132386
103747,66,520732,13557,BRG-228, ,BRG-228,WESTLAKE PED /SHIP CANAL                                                                                                                                                                                                                                       ,WESTLAKE EAST RDWY AVE N BETWEEN NEWELL ST AND SHIP CANAL TRL                                                                                                                                                                                                  ,,, ,, ,, ,, ,DISTRICT7, ,N,,3/23/2010 12:00:00 AM,3/25/2011 12:00:00 AM,0, , , , , ,0,0, , , ,,,13557, ,307.281774247925
103748,66,512042,489864,BRG-340, ,BRG-340,UNIVERSITY ST /I-5                                                                                                                                                                                                                                             ,UNION ST OFF RP BETWEEN I5 SB AND UNION ST                                                                                                                                                                                                                     ,,, ,, ,, ,, ,DISTRICT7, ,N,,12/21/2009 12:00:00 AM,4/5/2011 12:00:00 AM,340, 340,ST,7TH AVE-UNIV ST / CANTIL I-5,"7TH AVE, UNIVERSITY ST",SR 5,5,1,DT,DOT,State of Washington,0,101000100,489864, ,311.052114755291
103749,66,515738,492938,BRG-891, ,BRG-891,I-5 SBCD /NORTHGATE WAY                                                                                                                                                                                                                                        ,I5 SB COLLECTOR BETWEEN I5 SB CORLISS AV OFF RP AND NORTHGATE I5 SB ON RP                                                                                                                                                                                      ,,, ,, ,, ,, ,DISTRICT5, ,N,,1/21/2010 12:00:00 AM,9/16/2010 12:00:00 AM,891, 891,ST,NE 110TH ST OC,SR 5,NE 110TH ST,1,0,NE,DOT,State of Washington,0,127150120,492938, ,167.585821833014
103750,66,511833,23274,BRG-047, ,BRG-047,23RD AVE W /RR                                                                                                                                                                                                                                                 ,W EMERSON PL BETWEEN 23RD AVE W AND GILMAN AVE W                                                                                                                                                                                                               ,,, ,, ,, ,, ,DISTRICT7, ,N,,12/21/2009 12:00:00 AM,9/16/2010 12:00:00 AM,47,  47,E,23RD AVE W / RAILROAD,W EMERSON PL,RAILROAD,4,0,MA,SDOT,Seattle Dept. of Transportation,185650040,0,23274, ,205.068184822669
103751,66,610794,,,,,,,,,,,,,,,,,,,,,,0, , , , , ,0,0, , , ,,,,,92.9315973672236
103752,66,512020,17607,BRG-5/583, ,BRG-5/583,NE 80TH ST OVER I-5                                                                                                                                                                                                                                            ,NE 80TH ST BETWEEN CORLISS WAY N AND BANNER WAY NE                                                                                                                                                                                                             ,,, ,, ,, ,, ,DISTRICT4,DISTRICT6,N,,12/21/2009 12:00:00 AM,6/6/2024 12:00:00 AM,306, 306,ST,NE 80TH ST / I-5,NE 80TH ST,SR 5,1,0,NE,DOT,State of Washington,136400030,0,17607, ,316.133168126323
103753,66,512025,14725,BRG-5/569, ,BRG-5/569,ROANOKE ST OVER I-5                                                                                                                                                                                                                                            ,E ROANOKE ST BETWEEN BOYLSTON AVE E AND HARVARD AVE E                                                                                                                                                                                                          ,,, ,, ,, ,, ,DISTRICT3,DISTRICT4,N,,12/21/2009 12:00:00 AM,6/6/2024 12:00:00 AM,314, 314,ST,ROANOKE ST / I-5,ROANOKE ST,SR 5,2,0,CE,DOT,State of Washington,115200070,0,14725, ,293.142355506966
103754,66,515720,491524,BRG-859, ,BRG-859,NBCD VIADUCT STA 2195                                                                                                                                                                                                                                          ,I5 NB COLLECTOR BETWEEN MADISON ST OFF RP AND I5 NB N                                                                                                                                                                                                          ,,, ,, ,, ,, ,DISTRICT3, ,N,,1/21/2010 12:00:00 AM,,859, 859,ST,NBCD VIADUCT STA 2195,SR 5,"MARION,COLUMBIA,CHERRY,JAMES",1,1,DT,DOT,State of Washington,0,0,491524, ,1234.76664536157
103755,66,511914,2524,BRG-128, ,BRG-128,GAMMA PHI BETA PED                                                                                                                                                                                                                                             ,17TH SB AVE NE BETWEEN NE 45TH ST AND NE 47TH ST                                                                                                                                                                                                               ,,, ,, ,, ,, ,DISTRICT4, ,N,,12/21/2009 12:00:00 AM,9/16/2010 12:00:00 AM,128, 128,PR,GAMMA PHI BETA PEDESTRIAN BR,PEDESTRIANS,ALLEY,5,0,NE,PRIV,Other,0,6800010,2524, ,61.5905378365511
103756,66,511852,286989,BRG-067, ,BRG-067,E WATERWAY - N BR                                                                                                                                                                                                                                              ,WEST SEATTLE BRIDGE TRL BETWEEN EAST MARGINAL WAY S AND SW SPOKANE NR ST                                                                                                                                                                                       ,,, ,, ,, ,, ,DISTRICT1,DISTRICT2,N,,12/21/2009 12:00:00 AM,4/5/2011 12:00:00 AM,67,  67,E,E DUWAMISH WTRWY N BRIDGE,PEDESTRIANS,E WATERWAY OF DUWAMISH,5,0,SW,SDOT,Seattle Dept. of Transportation,0,0,286989, ,470.626259246191
103757,66,511834,5198,BRG-050, ,BRG-050,33RD AVE W /RR                                                                                                                                                                                                                                                 ,33RD AVE W BETWEEN 33RD AV W PED BR AND W HARLEY ST                                                                                                                                                                                                            ,,, ,, ,, ,, ,DISTRICT7, ,N,,12/21/2009 12:00:00 AM,9/16/2010 12:00:00 AM,50,  50,E,33RD AVE W / RAILROAD,PEDESTRIANS,RAILROAD,5,0,MA,SDOT,Seattle Dept. of Transportation,23150170,0,5198, ,181.834424777015
103758,66,511911,4377,BRG-125U, ,BRG-125U,COLUMBIA ST PED /AEO 2ND                                                                                                                                                                                                                                       ,3RD AVE BETWEEN COLUMBIA ST AND MARION ST                                                                                                                                                                                                                      ,,3/27/2024 12:00:00 AM,REMOVED,12/31/2021 12:00:00 AM, ,, ,, ,DISTRICT7, ,N,,12/21/2009 12:00:00 AM,3/27/2024 12:00:00 AM,125, 125U,PR,SEA TRUST PED BR (UPPER),PEDESTRIANS,ALLEY,5,1,DT,PRIV,Other,0,9550090,4377, ,49.8685502638249
103759,66,511890,2076,BRG-102, ,BRG-102,15TH AVE NE /THORNTON CK                                                                                                                                                                                                                                       ,15TH AVE NE BETWEEN NE 104TH ST AND NE 106TH ST                                                                                                                                                                                                                ,,, ,, ,, ,, ,DISTRICT5, ,N,,12/21/2009 12:00:00 AM,4/5/2011 12:00:00 AM,102, 102,E,15TH AVE NE AT NE 105TH ST,15TH AVE NE,RAVINE,4,0,NE,SDOT,Seattle Dept. of Transportation,5550470,0,2076, ,411.51079383326
103760,66,511781,22837,BRG-005A, ,BRG-005A,HARBOR AVE - LOWER N BR                                                                                                                                                                                                                                        ,SW SPOKANE NR ST BETWEEN HARBOR AV SW OFF RP AND HARBOR AVE SW                                                                                                                                                                                                 ,,, ,, ,, ,, ,DISTRICT1, ,N,,12/21/2009 12:00:00 AM,5/7/2018 12:00:00 AM,5,   5A,E,HARBOR AVE SW - BRIDGE A,SW SPOKANE ST/HARBOR AVE,RAILROAD,4,0,SW,SDOT,Seattle Dept. of Transportation,181910095,0,22837,BRGTEAM-F,116.7828231501
103761,66,515714,491479,BRG-849, ,BRG-849,SBCD VIADUCT ST 2133                                                                                                                                                                                                                                           ,I5 SB BETWEEN I5 SB COLLECTOR S AND I5 EXPRESS I5 SB RP                                                                                                                                                                                                        ,,, ,, ,, ,, ,DISTRICT2, ,N,,1/21/2010 12:00:00 AM,,849, 849,ST,SBCD VIADUCT ST 2133,SR 5 SB, ,1,2,S,DOT,State of Washington,0,0,491479, ,2320.63310677095
103762,66,511951,3587,BRG-162, ,BRG-162,24TH AVE NW PIER                                                                                                                                                                                                                                               ,24TH AVE NW BETWEEN DEAD END AND NW 54TH SR ST                                                                                                                                                                                                                 ,,, ,, ,, ,, ,DISTRICT6, ,N,,12/21/2009 12:00:00 AM,4/5/2011 12:00:00 AM,0,162, , , , ,0,0, , , ,,,3587, ,267.510462973619
103763,66,511987,5722,BRG-252, ,BRG-252,RR /NW 65TH ST                                                                                                                                                                                                                                                 ,37TH AVE NW BETWEEN NW 64TH ST AND NW 65TH ST                                                                                                                                                                                                                  ,,, ,, ,, ,, ,DISTRICT6, ,N,,12/21/2009 12:00:00 AM,9/16/2010 12:00:00 AM,252,252, , NW 65TH ST UNDERCROSSING, , ,0,0, , ,Other,0,0,5722, ,34.3321239116568
103764,66,511866,8903,BRG-081A, ,BRG-081A,SR-99 /BROAD ST                                                                                                                                                                                                                                                ,AURORA AVE N BETWEEN AURORA AV NB OFF RP AND AURORA AV SB OFF RP                                                                                                                                                                                               ,,3/27/2024 12:00:00 AM,REMOVED,, ,, ,, ,DISTRICT7, ,N,,12/21/2009 12:00:00 AM,3/27/2024 12:00:00 AM,81,  81A,ST,AURORA AVE N / BROAD ST,SR 99,BROAD ST,1,0,QA,DOT,State of Washington,52500050,0,8903, ,220.826300640933
103765,66,511885,8923,BRG-095, ,BRG-095,N 41ST ST PED /SR-99                                                                                                                                                                                                                                           ,AURORA AVE N BETWEEN N 40TH ST AND N 41ST ST                                                                                                                                                                                                                   ,,, ,, ,, ,, ,DISTRICT4,DISTRICT6,N,,12/21/2009 12:00:00 AM,5/7/2018 12:00:00 AM,95,  95,E,N 41ST ST / AURORA AVE N,PEDESTRIANS,SR 99,2,0,NO,SDOT,Seattle Dept. of Transportation,120800140,0,8923,BRGTEAM-O,117.779864348448
103766,66,511900,3450,BRG-114, ,BRG-114,23RD AVE S /I-90                                                                                                                                                                                                                                               ,23RD AVE S BETWEEN S JUDKINS ST AND MOUNTAINS TO SOUND TRL                                                                                                                                                                                                     ,,, ,, ,, ,, ,DISTRICT3, ,N,,12/21/2009 12:00:00 AM,9/16/2010 12:00:00 AM,114, 111,ST,23RD AVE S OC,SR 5,SR-90,2,0,S,DOT,State of Washington,13750090,0,3450, ,574.996758246878
103767,66,511809,12152,BRG-024, ,BRG-024,PHINNEY AVE N /N 57TH ST                                                                                                                                                                                                                                       ,PHINNEY AVE N BETWEEN N 56TH ST AND N 58TH ST                                                                                                                                                                                                                  ,,, ,, ,, ,, ,DISTRICT6, ,N,,12/21/2009 12:00:00 AM,5/7/2018 12:00:00 AM,24,  24,E,PHINNEY AVE N / N 57TH ST,PHINNEY AVE N,N 57TH ST,2,0,NO,SDOT,Seattle Dept. of Transportation,91150250,0,12152,BRGTEAM-O,250.060283925242
103768,66,511962,23389,BRG-213, ,BRG-213,32ND AVE W SEWER TRESTLE                                                                                                                                                                                                                                       ,W GOVERNMENT WAY BETWEEN 32ND S AVE W AND 33RD AVE W                                                                                                                                                                                                           ,,, ,, ,, ,, ,DISTRICT7, ,N,,12/21/2009 12:00:00 AM,4/1/2010 12:00:00 AM,213,213, , , , ,0,0, , ,Other,0,0,23389, ,232.081926121238
103769,66,511942,2031,BRG-154, ,BRG-154,UW PED /15TH AVE NE                                                                                                                                                                                                                                            ,15TH AVE NE BETWEEN NE CAMPUS WB PY AND NE 41ST ST                                                                                                                                                                                                             ,,, ,, ,, ,, ,DISTRICT4, ,N,,12/21/2009 12:00:00 AM,4/5/2011 12:00:00 AM,154, 154,PR,UW PED BR / 15TH AVE NE,PEDESTRIANS,15TH AVE NE,3,0,NE,PRIV,Other,0,5550040,2031, ,148.565387046877
103770,66,512036,13767,BRG-5/544, ,BRG-5/544,YESLER WAY OVER I-5                                                                                                                                                                                                                                            ,YESLER WAY BETWEEN 6TH AVE AND 7TH AVE                                                                                                                                                                                                                         ,,, ,, ,, ,, ,DISTRICT3,DISTRICT2,N,,12/21/2009 12:00:00 AM,6/6/2024 12:00:00 AM,328, 328,ST,YESLER WAY / I-5,YESLER WAY,SR 5,1,1,DT,DOT,State of Washington,107850150,0,13767, ,495.118292770712
103771,66,515695,491026,BRG-830, ,BRG-830,E-S RAMP BR                                                                                                                                                                                                                                                    ,W SEATTLE BR - I5 SB RP BETWEEN WEST SEATTLE BR EB AND 6TH AV S - I5 SB RP                                                                                                                                                                                     ,,, ,, ,, ,, ,DISTRICT2, ,N,,1/21/2010 12:00:00 AM,,830, 830,ST,E-S RAMP BR,SPOKANE ST SR 5 ONR, ,2,3,S,DOT,State of Washington,0,0,491026, ,1525.16293117521
103772,66,511967,8729,BRG-218, ,BRG-218,BELL ST PED /WESTERN                                                                                                                                                                                                                                           ,ALASKAN WAY BETWEEN BLANCHARD ST AND XW BELL ST                                                                                                                                                                                                                ,,, ,, ,, ,, ,DISTRICT7, ,N,,12/21/2009 12:00:00 AM,4/5/2011 12:00:00 AM,218,218, ,BELL STREET PED BRIDGE, , ,0,0, , ,Other,54250005,0,8729, ,253.995832593181
103773,66,511848,11228,BRG-063C, ,BRG-063C,COLMAN PARK BR #4                                                                                                                                                                                                                                              ,LAKE WASHINGTON BLVD S BETWEEN S MASSACHUSETTS ST AND LAKESIDE AVE S                                                                                                                                                                                           ,,, ,, ,, ,, ,DISTRICT3, ,N,,12/21/2009 12:00:00 AM,4/5/2011 12:00:00 AM,63,  63C,E,COLMAN PARK #4,LAKE WASH BLVD,RAVINE,5,0,S,SDOT,Seattle Dept. of Transportation,80600210,0,11228, ,96.6231743549149
103774,66,515672,490946,BRG-811, ,BRG-811,E-N RAMP S ALBRO RR OC                                                                                                                                                                                                                                         ,I5 BAILEY ST ON RP BETWEEN S BAILEY ST AND BAILEY ST ON RP                                                                                                                                                                                                     ,,, ,, ,, ,, ,DISTRICT2, ,N,,1/21/2010 12:00:00 AM,,811, 811,ST,E-N RAMP S ALBRO RR OC,MICHIGAN ST,"AIRPORT WAY S, RR",5,0,S,DOT,State of Washington,0,50000490,490946, ,1204.24504074458
103775,66,539520,23763,BRG-297, ,BRG-297,ARENA PED BRIDGE / RR                                                                                                                                                                                                                                          ,W THOMAS ST BETWEEN 3RD AVE W AND ELLIOTT N AVE W                                                                                                                                                                                                              ,,11/7/2012 12:00:00 AM,REMOVED,11/7/2012 12:00:00 AM, ,, ,, ,DISTRICT7, ,N,,12/6/2010 12:00:00 AM,10/25/2023 12:00:00 AM,0, , ,W THOMAS ST PED, , ,0,0, , , ,,,23763,W,230.776762782901
103776,66,511818,20487,BRG-033E, ,BRG-033E,"JACKSON, 4TH-5TH - E BR                                                                                                                                                                                                                                        ",S JACKSON ST BETWEEN 4TH AVE S AND 5TH AVE S                                                                                                                                                                                                                   ,,, ,, ,, ,, ,DISTRICT2, ,N,,12/21/2009 12:00:00 AM,5/7/2018 12:00:00 AM,33,  33,E,JACKSON ST / 4TH AVE - 5TH AVE,S JACKSON ST,RAILROAD,2,2,S,SDOT,Seattle Dept. of Transportation,162850070,0,20487,BRGTEAM-N,115.456376835732
103777,66,534872,10170,BRG-236, ,BRG-236,ZYMOGENETICS SKYBRIDGE                                                                                                                                                                                                                                         ,EASTLAKE AVE E BETWEEN E NELSON PL AND FAIRVIEW AVE N                                                                                                                                                                                                          ,,, ,, ,, ,, ,DISTRICT3, ,N,,10/13/2010 12:00:00 AM,,0, , , , , ,0,0, , , ,,,10170, ,93.8014409434599
103778,66,511817,8650,BRG-032, ,BRG-032,SEATTLE BLVD BR                                                                                                                                                                                                                                                ,SEATTLE BLVD S BETWEEN 4TH AVE S AND S DEARBORN ST                                                                                                                                                                                                             ,,, ,, ,, ,, ,DISTRICT2, ,N,,12/21/2009 12:00:00 AM,5/7/2018 12:00:00 AM,32,  32,E,AIRPORT WAY / 4TH AVE-5TH AVE,AIRPORT WAY S,RAILROAD,2,2,S,SDOT,Seattle Dept. of Transportation,50000010,0,8650,BRGTEAM-L,284.418043263479
103779,66,515729,491693,BRG-873, ,BRG-873,N-HARVARD RAMP BRIDGE                                                                                                                                                                                                                                          ,LAKEVIEW BV OFF RP BETWEEN I5 NB AND E GARFIELD ST                                                                                                                                                                                                             ,,, ,, ,, ,, ,DISTRICT3,DISTRICT4,N,,1/21/2010 12:00:00 AM,,873, 873,ST,N-HARVARD RAMP BRIDGE,SR 5 RAMP NB, ,1,0,CE,DOT,State of Washington,0,80900120,491693, ,416.90763897105
